name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
Hank Azaria,https://en.wikipedia.org/wiki/Hank_Azaria,54,U.S.,New York City,Queens,American,,,"['Actor, voice actor, comedian, producer']",
2 Chainz,https://en.wikipedia.org/wiki/2_Chainz,41,U.S,Georgia,College Park,American,,,,
50 Cent,https://en.wikipedia.org/wiki/50_Cent,43,U.S.,New York,New York City,American,,,"['Rapper   singer  songwriter   actor', 'businessman', 'investor', 'television producer']",
Aaron Eckhart,https://en.wikipedia.org/wiki/Aaron_Eckhart,50,U.S.,California,Cupertino,American,"['Brigham Young UniversityHawaii', 'Brigham Young University']",,['Actor'],
Aaron Paul,https://en.wikipedia.org/wiki/Aaron_Paul,39,U.S.,Idaho,Emmett,American,,,['Actor'],
Aaron Tveit,https://en.wikipedia.org/wiki/Aaron_Tveit,35,U.S.,New York,Middletown,American,,['Middletown High School'],['Actor  singer'],
Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson,34,U.S.,Pennsylvania,Wayne,American,['Maryland Institute College of Art'],,['Comedian  actress  writer  illustrator'],
Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson,34,U.S.,Pennsylvania,Wayne,American,['Maryland Institute College of Art'],,['Comedian  actress  writer  illustrator'],
Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson,34,U.S.,Pennsylvania,Wayne,American,['Maryland Institute College of Art'],,['Comedian  actress  writer  illustrator'],
Abby Elliott,https://en.wikipedia.org/wiki/Abby_Elliott,31,U.S.,New York,New York City,American,['Marymount Manhattan College'],['Immaculate High School'],"['Actress', 'comedian']",
Abby Wambach,https://en.wikipedia.org/wiki/Abby_Wambach,38,U.S.,New York,Rochester,American,,,,
Adam Brody,https://en.wikipedia.org/wiki/Adam_Brody,38,U.S.,California,San Diego,American,,,['Actor  writer  musician  producer'],
Adam Conover,https://en.wikipedia.org/wiki/Adam_Conover,35,U.S.,New York,Smithtown,American,['Bard College'],['ShorehamWading River High School'],"['Comedian, Writer, and Show Host']",
Adam Conover,https://en.wikipedia.org/wiki/Adam_Conover,35,U.S.,New York,Smithtown,American,['Bard College'],['ShorehamWading River High School'],"['Comedian, Writer, and Show Host']",
Adam DeVine,https://en.wikipedia.org/wiki/Adam_DeVine,34,U.S.,Iowa,Waterloo,American,,,['Actor  comedian  singer  screenwriter  producer'],
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,34,U.S.,California,San Diego,American,['Juilliard School'],,['Actor'],
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,34,U.S.,California,San Diego,American,['Juilliard School'],,['Actor'],
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,34,U.S.,California,San Diego,American,['Juilliard School'],,['Actor'],
Adam McKay,https://en.wikipedia.org/wiki/Adam_McKay,50,U.S.,Philadelphia, Pennsylvania,American,,['Great Valley High School'],['Film director  producer  screenwriter  comedian'],
Adam Pally,https://en.wikipedia.org/wiki/Adam_Pally,36,U.S.,New York,New York City,American,,,"['Actor, comedian, writer']",
