education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
,,,,,,,,,Diane Kruger,https://en.wikipedia.org/wiki/Diane_Kruger,42,Germany,Lower Saxony,Algermissen,German,,,F,"['Actress;', 'model']",
,,,,,,,,,John McEnroe,https://en.wikipedia.org/wiki/John_McEnroe,59,Germany,Hesse,Wiesbaden,American,,,M,['Tennis Player'],
,,,,,Juilliard School,,,,Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,48,Germany,West Berlin,,American,['Juilliard School'],,F,"['Actress', 'singer']",
,,,,,Montclair State University,,,,Bruce Willis,https://en.wikipedia.org/wiki/Bruce_Willis,63,Germany,RhinelandPalatinate,IdarOberstein,American,['Montclair State University'],,M,"['Actor', 'producer with Cheyenne Enterprises', 'singer']",
Sylvia Young Theatre School,Ranelagh School,,,,,,,,Nicholas Hoult,https://en.wikipedia.org/wiki/Nicholas_Hoult,28,U.K.,Berkshire,Wokingham,British,,"['Sylvia Young Theatre School', 'Ranelagh School']",M,['Actor'],
Dragon School,Eton College,,,,University of Cambridge,Royal Academy of Dramatic Art,,,Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston,37,U.K.,London,Westminster,English,"['University of Cambridge', 'Royal Academy of Dramatic Art']","['Dragon School', 'Eton College']",M,"['Actor', 'producer', 'musician']",
Dragon School,Eton College,,,,"Selwyn College,Cambridge",,,,Hugh Laurie,https://en.wikipedia.org/wiki/Hugh_Laurie,59,U.K.,Oxfordshire,Oxford,British,"['Selwyn College, Cambridge']","['Dragon School', 'Eton College']",M,"['Actor', 'director', 'musician', 'comedian', 'author']",
Brambletye School,Harrow School,,,,Victoria University of Manchester,London Academy of Music and Dramatic Art,,,Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,42,U.K.,London,Hammersmith,British,"['Victoria University of Manchester', 'London Academy of Music and Dramatic Art']","['Brambletye School', 'Harrow School']",M,['Actor'],
Royal Ballet School,,,,,,,,,Christopher Wheeldon,https://en.wikipedia.org/wiki/Christopher_Wheeldon,45,U.K.,Somerset,Yeovil,English,,['Royal Ballet School'],M,['Choreographer'],
Holmer Green Upper School,,,,,,,,,James Corden,https://en.wikipedia.org/wiki/James_Corden,40,U.K.,London,Hillingdon,English,,['Holmer Green Upper School'],M,"['Actor', 'comedian', 'television host']",
Intake High School,,,,,,,,,Mel B,https://en.wikipedia.org/wiki/Mel_B,43,U.K.,England,West Yorkshire,British,,['Intake High School'],F,"['Singer', 'songwriter', 'dancer', 'television personality', 'television producer', 'actress', 'model', 'author']",
North London Collegiate School,,,,,,,,,Anna Wintour,https://en.wikipedia.org/wiki/Anna_Wintour,68,U.K.,London,Hampstead,British,,['North London Collegiate School'],F,"['Magazine editor', 'fashion journalist']",
Alleyns School,,,,,National Youth Music Theatre,,,,Jude Law,https://en.wikipedia.org/wiki/Jude_Law,45,U.K.,London,Lewisham,British,['National Youth Music Theatre'],['Alleyns School'],M,['Actor'],
Roedean School,,,,,University of Cambridge,,,,Eugenia Cheng,https://en.wikipedia.org/wiki/Eugenia_Cheng,,U.K.,Hampshire,,British,['University of Cambridge'],['Roedean School'],F,['Mathematician'],
Eton College,,,,,"Trinity College,Cambridge",,,,Eddie Redmayne,https://en.wikipedia.org/wiki/Eddie_Redmayne,36,U.K.,London,,English,"['Trinity College, Cambridge']",['Eton College'],M,['Actor'],
Northampton School for Boys,,,,,University of East Anglia,,,,Matt Smith,https://en.wikipedia.org/wiki/Matt_Smith_(actor),36,U.K.,Northampton,,British,['University of East Anglia'],['Northampton School for Boys'],M,['Actor'],
St Pauls Girls School,,,,,Central School Of Speech And Drama,,,,Jennifer Saunders,https://en.wikipedia.org/wiki/Jennifer_Saunders,60,U.K.,Lincolnshire,,British,"['Central School Of Speech And Drama', ]",['St Pauls Girls School'],F,['Comedian'],
Winchester College,,,,,"St Peters College,Oxford",,,,Hugh Dancy,https://en.wikipedia.org/wiki/Hugh_Dancy,43,U.K.,Staffordshire,StokeonTrent,British,"['St Peters College, Oxford']",['Winchester College'],M,"['Actor', 'model']",
Reigate Grammar School,,,,,"Magdalen College,Oxford",,Harvard University,,Andrew Sullivan,https://en.wikipedia.org/wiki/Andrew_Sullivan,55,U.K.,Surrey,South Godstone,American,"['Magdalen College, Oxford', 'Harvard University']",['Reigate Grammar School'],M,"['Writer', 'editor', 'blogger']",
