occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
"Government ,Politics and Military",,,,,,University of Waikato,,,,Jacinda Ardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,38,New Zealand,,,New Zealand,['University of Waikato'],,F,['Prime Minister of New Zealand'],Labour 
Airline Captain,,,,,,,,,,Chesley Sullenberger,https://en.wikipedia.org/wiki/Chesley_Sullenberger,67,U.S.,Texas,Denison,American,,,M,['Airline Captain'],
Science and Academics,Stanford University,,,,,,,,,Olivia Hallisey,https://en.wikipedia.org/wiki/Olivia_Hallisey,18,U.S.,Connecticut,Greenwich,American,,['Stanford University'],F,['Student' 'Scientist'],
Television journalists and hosts,,,,,,University of Florida,,,,Erin Andrews,https://en.wikipedia.org/wiki/Erin_Andrews,40,U.S.,Maine,Lewiston,American,['University of Florida'],,F,"['Sportscaster', 'television personality']",
Television journalists and hosts,,,,,,,,,,Jimmy Kimmel,https://en.wikipedia.org/wiki/Jimmy_Kimmel,50,U.S.,New York,New York City,American,,,M,['American television host'],
Television journalists and hosts,Harvard University,,,,,,,,,Mark Halperin,https://en.wikipedia.org/wiki/Mark_Halperin,53,U.S.,New York,New York City,American,,Harvard University'],M,"['Anchor', 'Author', 'Columnist']",
Television journalists and hosts,,,,,,,,,,Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,American,,,M,"['Broadcast journalist', 'Magazine editor']",
Television journalists and hosts,University of Georgia,New England Culinary Institute,,,,,,,,Alton Brown,https://en.wikipedia.org/wiki/Alton_Brown,56,U.S.,California,Los Angeles,American,,"['University of Georgia', 'New England Culinary Institute']",M,['Food show Presenter'],
Television journalists and hosts,,,,,,,,,,Cedric the Entertainer,https://en.wikipedia.org/wiki/Cedric_the_Entertainer,54,U.S.,Missouri,,American,,,M,['Game Show Host'],
Television journalists and hosts,University of North Carolina,,,,,,,,,Brooke Baldwin,https://en.wikipedia.org/wiki/Brooke_Baldwin,39,U.S.,Georgia,Atlanta,American,,['University of North Carolina'],F,['News anchor'],
Television journalists and hosts,University of Mississippi,,,,,,,,,Shepard Smith,https://en.wikipedia.org/wiki/Shepard_Smith,54,U.S.,Mississippi,Holly Springs,American,,['University of Mississippi'],M,['News anchor'],
Television journalists and hosts,DePauw University,,,,,,,,,Bret Baier,https://en.wikipedia.org/wiki/Bret_Baier,48,U.S.,New Jersey,Rumson,American,,['DePauw University'],M,['News anchor'],
Television journalists and hosts,Georgetown University,Williams College,,,,,,,,Mika Brzezinski,https://en.wikipedia.org/wiki/Mika_Brzezinski,51,U.S.,New York,New York City,American,,"['Georgetown University', 'Williams College']",F,"['News presenter', ', author']",
Television journalists and hosts,,,,,,Wheaton College,,,,Lesley Stahl,https://en.wikipedia.org/wiki/Lesley_Stahl,76,U.S.,Massachusetts,Lynn,American,['Wheaton College'],,F,['News reporter'],
Television journalists and hosts,University of Southern California,,,,,,,,,Julie Chen,https://en.wikipedia.org/wiki/Julie_Chen,48,U.S.,New York,New York City,American,,['University of Southern California'],F,"['Presenter', 'anchor', 'producer']",
Television journalists and hosts,,,,,,,,,,Graham Norton,https://en.wikipedia.org/wiki/Graham_Norton,55,U.K.,Cork,Bandon,British,,,M,"['Presenter', 'comedian', 'actor', 'writer',  'commentator']",
Television journalists and hosts,,,,,,Dartmouth College,,,,Aisha Tyler,https://en.wikipedia.org/wiki/Aisha_Tyler,48,U.S.,California,San Francisco,American,['Dartmouth College'],,F,"['Talk show host', 'actress', 'comedian', 'author', 'producer', 'writer', 'director']",
Television journalists and hosts,,,,,,Duke University,,,,Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,American,['Duke University'],,M,"['Talk show host', 'journalist']",
Television journalists and hosts,Clayton High School,,,,,Boston University,,,,Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],M,"['Talk show host', 'radio host', 'author', 'producer']",
Television journalists and hosts,,,,,,Yale University,,,,Ezra Edelman,https://en.wikipedia.org/wiki/Ezra_Edelman,44,U.S.,Massachusetts,Boston,American,['Yale University'],,M,"['Television director', 'television producer']",
Television journalists and hosts,,,,,,Brown University,,,,Alex Wagner,https://en.wikipedia.org/wiki/Alex_Wagner,40,U.S.,D.C.,Washington,American,['Brown University'],,F,"['Television host', 'author']",
Television journalists and hosts,,,,,,Northeastern University,,,,Wendy Williams,https://en.wikipedia.org/wiki/Wendy_Williams,54,U.S.,New Jersey,Monmouth County,American,['Northeastern University'],,F,"['Television host',  'author',  'actress', 'producer', 'fashion designer', 'former radio personality']",
Television journalists and hosts,,,,,,Midwestern State University,University of North Texas,,,Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw,68,U.S.,Oklahoma,Vinita,American,"['Midwestern State University', 'University of North Texas']",,M,['Television host'],
Television journalists and hosts,Stanford University,"Lincoln College,Oxford",,,,,,,,Rachel Maddow,https://en.wikipedia.org/wiki/Rachel_Maddow,45,U.S.,California,Castro Valley,American,,"['Stanford University', 'Lincoln College, Oxford']",F,"['Television host', 'political commentator', 'author']",
Television journalists and hosts,,,,,,Harvard University,,,,Conan O'Brien,https://en.wikipedia.org/wiki/Conan_O%27Brien,55,U.S.,Massachusetts,Brookline,American,['Harvard University'],,M,['Television Host'],
Television journalists and hosts,Lawrence High School,,,,,College of William amp Mary,,,,Jon Stewart,https://en.wikipedia.org/wiki/Jon_Stewart,55,U.S.,New York,New York City,American,['College of William amp Mary'],['Lawrence High School'],M,['Television Host'],
Television journalists and hosts,Manchester High School West,,,,,Northwestern University,,,,Seth Meyers,https://en.wikipedia.org/wiki/Seth_Meyers,44,U.S.,Illinois,Evanston,American,['Northwestern University'],['Manchester High School West'],M,['Television Host'],
Television journalists and hosts,Pascack Hills High School,,,,,Cornell University,,,,Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],M,['Television Host'],
Television journalists and hosts,,,,,,"Christs College,Cambridge",,,,John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian),41,U.K.,Birmingham,Erdington,British,"['Christs College, Cambridge']",,M,['Television Host'],
Television journalists and hosts,,,,,,,,,,Craig Ferguson,https://en.wikipedia.org/wiki/Craig_Ferguson,56,U.K.,Scotland,Glasgow,American,,,M,['Television Host'],
Television journalists and hosts,,,,,,Wellesley College,,,,Diane Sawyer,https://en.wikipedia.org/wiki/Diane_Sawyer,72,U.S.,Kentucky,Glasgow,American,['Wellesley College'],,F,['Television journalist'],
Television journalists and hosts,Yankton High School,,,,,University of South Dakota,,,,Tom Brokaw,https://en.wikipedia.org/wiki/Tom_Brokaw,78,U.S.,South Dakota,Webster,American,['University of South Dakota'],['Yankton High School'],M,"['Television journalist', 'Author']",
Television journalists and hosts,Douglas MacArthur High School,,,,,Georgetown University,,,,Norah O'Donnell,https://en.wikipedia.org/wiki/Norah_O%27Donnell,44,U.S.,D.C.,Washington,American,['Georgetown University'],['Douglas MacArthur High School'],F,['Television journalist'],
