name,wiki_link,age,country_born,state_born,city_born,nationality,gender,occupation,political_party
Coyote Peterson,https://en.wikipedia.org/wiki/Coyote_Peterson,38,U.S.,Ohio,Newbury,American,M,Activism and Philanthropy,
Hugh Evans,https://en.wikipedia.org/wiki/Hugh_Evans_(humanitarian),35,Australia,Victoria,Melbourne,Australian,M,Activism and Philanthropy,
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich,58,U.S.,Kansas,Lawrence,American,F,Activism and Philanthropy,
DeRay McKesson,https://en.wikipedia.org/wiki/DeRay_McKesson,33,U.S.,Maryland,Baltimore,American,M,Activism and Philanthropy,
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai,21,Pakistan,Swat,Mingora,Pakistani,F,Activism and Philanthropy,
Chelsea Clinton,https://en.wikipedia.org/wiki/Chelsea_Clinton,38,U.S.,Arkansas,Little Rock,American,F,Activism and Philanthropy,Democratic
Chesley Sullenberger,https://en.wikipedia.org/wiki/Chesley_Sullenberger,67,U.S.,Texas,Denison,American,M,Airline Captain,
Jeff Watson,,53,U.S.,Indiana,Bedford,American,M,Bear Trainer,
Travis Kalanick,https://en.wikipedia.org/wiki/Travis_Kalanick,42,U.S.,California,Los Angeles,American,M,Business and Corporate,
Shane Smith,https://en.wikipedia.org/wiki/Shane_Smith_(journalist),49,Canada,Ontario,Ottawa,Canadian,M,Business and Corporate,
Alexis Ohanian,https://en.wikipedia.org/wiki/Alexis_Ohanian,35,U.S.,New York,New York City,American,M,Business and Corporate,
Evan Spiegel,https://en.wikipedia.org/wiki/Evan_Spiegel,28,U.S.,California,Los Angeles,American,M,Business and Corporate,
Richard Branson,https://en.wikipedia.org/wiki/Richard_Branson,68,U.K.,London,Blackheath,British,M,Business and Corporate,
Jeremy Stoppelman,https://en.wikipedia.org/wiki/Jeremy_Stoppelman,40,U.S.,Virginia,Arlington,American,M,Business and Corporate,
Brian Chesky,https://en.wikipedia.org/wiki/Brian_Chesky,37,U.S.,New York,Niskayuna,American,M,Business and Corporate,
Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook,57,U.S.,Alabama,Mobile,American,M,Business and Corporate,
Martha Stewart,https://en.wikipedia.org/wiki/Martha_Stewart,77,U.S.,New Jersey,Jersey City,American,M,Business and Corporate,
Reed Hastings,https://en.wikipedia.org/wiki/Reed_Hastings,58,U.S.,Massachusetts,Boston,American,M,Business and Corporate,
Eddie George,https://en.wikipedia.org/wiki/Eddie_George,45,U.S.,Pennsylvania,Philadelphia,American,M,Business and Corporate,
Phil Knight,https://en.wikipedia.org/wiki/Phil_Knight,80,U.S.,Oregon,Portland,American,M,Business and Corporate,
Nick Woodman,https://en.wikipedia.org/wiki/Nick_Woodman,43,U.S.,California,Woodside,American,M,Business and Corporate,
Donny Deutsch,https://en.wikipedia.org/wiki/Donny_Deutsch,60,U.S.,New York,New York City,American,M,Business and Corporate,Democratic
Michael Bloomberg,https://en.wikipedia.org/wiki/Michael_Bloomberg,76,U.S.,Massachusetts,Boston,American,M,Business and Corporate,Democratic
Sheryl Sandberg,https://en.wikipedia.org/wiki/Sheryl_Sandberg,49,U.S.,D.C.,Washington,American,F,Business and Corporate,Democratic
Mark Cuban,https://en.wikipedia.org/wiki/Mark_Cuban,60,U.S.,Pennsylvania,Pittsburgh,American,M,Business and Corporate,Independent
