,guest_name,wiki_link
0,George Clooney,https://en.wikipedia.org/wiki/George_Clooney
1,Governor Jeb Bush,https://en.wikipedia.org/wiki/Jeb_Bush
2,Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson
3,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk
4,Vice President Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden
5,Travis Kalanick,https://en.wikipedia.org/wiki/Travis_Kalanick
6,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer
7,Stephen King,https://en.wikipedia.org/wiki/Stephen_King
8,Emily Blunt,https://en.wikipedia.org/wiki/Emily_Blunt
9,Justice Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer
10,Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal
11,Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook
12,Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey
13,Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett
14,Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah
15,Secretary-General Ban Ki-moon,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
16,Lupita Nyong'o,https://en.wikipedia.org/wiki/Lupita_Nyong%27o
17,Senator Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders
18,Christopher Wheeldon,https://en.wikipedia.org/wiki/Christopher_Wheeldon
19,Stephen Curry,https://en.wikipedia.org/wiki/Stephen_Curry
20,Senator Ted Cruz,https://en.wikipedia.org/wiki/Ted_Cruz
21,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
22,Dr. Ernest Moniz,https://en.wikipedia.org/wiki/Ernest_Moniz
23,Hugh Jackman with Hugh Evans,https://en.wikipedia.org/wiki/Hugh_Jackman
24,Senator Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren
25,Jim Gaffigan,https://en.wikipedia.org/wiki/Jim_Gaffigan
26,Maria Shriver,https://en.wikipedia.org/wiki/Maria_Shriver
27,Andrew Sullivan,https://en.wikipedia.org/wiki/Andrew_Sullivan
28,Archbishop Thomas Wenski,https://en.wikipedia.org/wiki/Thomas_Wenski
29,Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai
30,Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington
31,First Lady Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama
32,John Legend,https://en.wikipedia.org/wiki/John_Legend
33,Ellen Page,https://en.wikipedia.org/wiki/Ellen_Page
34,Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg
35,John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian)
36,Evan Spiegel,https://en.wikipedia.org/wiki/Evan_Spiegel
37,Bill Withers,https://en.wikipedia.org/wiki/Bill_Withers
38,Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran
39,Secretary of State John Kerry,https://en.wikipedia.org/wiki/John_Kerry
40,Claire Danes,https://en.wikipedia.org/wiki/Claire_Danes
41,PewDiePie,https://en.wikipedia.org/wiki/PewDiePie
42,Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman
43,Ruth Wilson,https://en.wikipedia.org/wiki/Ruth_Wilson
44,Senator John McCain,https://en.wikipedia.org/wiki/John_McCain
45,Misty Copeland,https://en.wikipedia.org/wiki/Misty_Copeland
46,Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
47,Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner
48,Gina Rodriguez,https://en.wikipedia.org/wiki/Gina_Rodriguez_(actress)
49,Ben Bernanke,https://en.wikipedia.org/wiki/Ben_Bernanke
50,Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett
51,Brian Chesky,https://en.wikipedia.org/wiki/Brian_Chesky
52,James Corden,https://en.wikipedia.org/wiki/James_Corden
53,Shane Smith,https://en.wikipedia.org/wiki/Shane_Smith_(journalist)
54,Carey Mulligan,https://en.wikipedia.org/wiki/Carey_Mulligan
55,Elvis Costello,https://en.wikipedia.org/wiki/Elvis_Costello
56,Sarah Silverman,https://en.wikipedia.org/wiki/Sarah_Silverman
57,Elijah Wood,https://en.wikipedia.org/wiki/Elijah_Wood
58,Jack Black,https://en.wikipedia.org/wiki/Jack_Black
59,Nick Woodman,https://en.wikipedia.org/wiki/Nick_Woodman
60,Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey
61,Joseph Fink,https://en.wikipedia.orgNone
62,Jeffrey Cranor,https://en.wikipedia.org/wiki/Bryan_Cranston
63,Jimmy Kimmel,https://en.wikipedia.org/wiki/Jimmy_Kimmel
64,Guillermo del Toro,https://en.wikipedia.org/wiki/Guillermo_del_Toro
65,Jessica Chastain,https://en.wikipedia.org/wiki/Jessica_Chastain
66,Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston
67,Mia Wasikowska,https://en.wikipedia.org/wiki/Mia_Wasikowska
68,Sienna Miller,https://en.wikipedia.org/wiki/Sienna_Miller
69,Melissa Benoist,https://en.wikipedia.org/wiki/Melissa_Benoist
70,Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton
71,Anthony Bourdain,https://en.wikipedia.org/wiki/Anthony_Bourdain
72,Carrie Brownstein,https://en.wikipedia.org/wiki/Carrie_Brownstein
73,Julianna Margulies,https://en.wikipedia.org/wiki/Julianna_Margulies
74,Jonathan Franzen,https://en.wikipedia.org/wiki/Jonathan_Franzen
75,Seth MacFarlane,https://en.wikipedia.org/wiki/Seth_MacFarlane
76,Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson
77,Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose
78,Stacy Schiff,https://en.wikipedia.org/wiki/Stacy_Schiff
79,Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney
80,Colin Quinn,https://en.wikipedia.org/wiki/Colin_Quinn
81,Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas
82,Reed Hastings,https://en.wikipedia.org/wiki/Reed_Hastings
83,John Irving,https://en.wikipedia.org/wiki/John_Irving
84,Daniel Craig,https://en.wikipedia.org/wiki/Daniel_Craig
85,Elizabeth Gilbert,https://en.wikipedia.org/wiki/Elizabeth_Gilbert
86,Dr. Eugenia Cheng,https://en.wikipedia.org/wiki/Eugenia_Cheng
87,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston
88,Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg
89,Governor John Kasich,https://en.wikipedia.org/wiki/John_Kasich
90,Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke
91,Senator Claire McCaskill,https://en.wikipedia.org/wiki/Claire_McCaskill
92,Senator Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar
93,Aziz Ansari,https://en.wikipedia.org/wiki/Aziz_Ansari
94,Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes
95,Bruce Campbell,https://en.wikipedia.org/wiki/Bruce_Campbell
96,Lucy Lawless,https://en.wikipedia.org/wiki/Lucy_Lawless
97,Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis
98,Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene
99,Jennifer Connelly,https://en.wikipedia.org/wiki/Jennifer_Connelly
100,Judd Apatow,https://en.wikipedia.org/wiki/Judd_Apatow
101,Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo
102,John Cleese,https://en.wikipedia.org/wiki/John_Cleese
103,Jack H. Jacobs,https://en.wikipedia.org/wiki/Jack_H._Jacobs
104,Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher
105,Florent Groberg,https://en.wikipedia.org/wiki/Florent_Groberg
106,Shepard Fairey,https://en.wikipedia.org/wiki/Shepard_Fairey
107,Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore
108,Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds
109,Sharon Stone,https://en.wikipedia.org/wiki/Sharon_Stone
