guest_name,wiki_link
George Clooney,https://en.wikipedia.org/wiki/George_Clooney
Jeb Bush,https://en.wikipedia.org/wiki/Jeb_Bush
Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson
Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk
Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden
Travis Kalanick,https://en.wikipedia.org/wiki/Travis_Kalanick
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer
Stephen King,https://en.wikipedia.org/wiki/Stephen_King
Emily Blunt,https://en.wikipedia.org/wiki/Emily_Blunt
Justice Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer
Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal
Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook
Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey
Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett
Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah
Ban Ki-moon,https://en.wikipedia.org/wiki/Ban_Ki-moon
Lupita Nyong,https://en.wikipedia.org/wiki/Lupita_Nyong%27o
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders
Christopher Wheeldon,https://en.wikipedia.org/wiki/Christopher_Wheeldon
Stephen Curry,https://en.wikipedia.org/wiki/Stephen_Curry
Ted Cruz,https://en.wikipedia.org/wiki/Ted_Cruz
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
Dr. Ernest Moniz,https://en.wikipedia.org/wiki/Ernest_Moniz
Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman
Hugh Evans,https://en.wikipedia.org/wiki/Hugh_Evans_(humanitarian)
Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren
Jim Gaffigan,https://en.wikipedia.org/wiki/Jim_Gaffigan
Maria Shriver,https://en.wikipedia.org/wiki/Maria_Shriver
Andrew Sullivan,https://en.wikipedia.org/wiki/Andrew_Sullivan
Thomas Wenski,https://en.wikipedia.org/wiki/Thomas_Wenski
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai
Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington
Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama
John Legend,https://en.wikipedia.org/wiki/John_Legend
Ellen Page,https://en.wikipedia.org/wiki/Ellen_Page
Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg
John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian)
Evan Spiegel,https://en.wikipedia.org/wiki/Evan_Spiegel
Bill Withers,https://en.wikipedia.org/wiki/Bill_Withers
Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran
John Kerry,https://en.wikipedia.org/wiki/John_Kerry
Claire Danes,https://en.wikipedia.org/wiki/Claire_Danes
PewDiePie,https://en.wikipedia.org/wiki/PewDiePie
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman
Ruth Wilson,https://en.wikipedia.org/wiki/Ruth_Wilson
John McCain,https://en.wikipedia.org/wiki/John_McCain
Misty Copeland,https://en.wikipedia.org/wiki/Misty_Copeland
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner
Gina Rodriguez,https://en.wikipedia.org/wiki/Gina_Rodriguez_(actress)
Ben Bernanke,https://en.wikipedia.org/wiki/Ben_Bernanke
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett
Brian Chesky,https://en.wikipedia.org/wiki/Brian_Chesky
James Corden,https://en.wikipedia.org/wiki/James_Corden
Shane Smith,https://en.wikipedia.org/wiki/Shane_Smith_(journalist)
Carey Mulligan,https://en.wikipedia.org/wiki/Carey_Mulligan
Elvis Costello,https://en.wikipedia.org/wiki/Elvis_Costello
Sarah Silverman,https://en.wikipedia.org/wiki/Sarah_Silverman
Elijah Wood,https://en.wikipedia.org/wiki/Elijah_Wood
Jack Black,https://en.wikipedia.org/wiki/Jack_Black
Nick Woodman,https://en.wikipedia.org/wiki/Nick_Woodman
Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey
Joseph Fink,None
Jeffrey Cranor,https://en.wikipedia.org/wiki/Bryan_Cranston
Jimmy Kimmel,https://en.wikipedia.org/wiki/Jimmy_Kimmel
Guillermo del Toro,https://en.wikipedia.org/wiki/Guillermo_del_Toro
Jessica Chastain,https://en.wikipedia.org/wiki/Jessica_Chastain
Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston
Mia Wasikowska,https://en.wikipedia.org/wiki/Mia_Wasikowska
Sienna Miller,https://en.wikipedia.org/wiki/Sienna_Miller
Melissa Benoist,https://en.wikipedia.org/wiki/Melissa_Benoist
Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton
Anthony Bourdain,https://en.wikipedia.org/wiki/Anthony_Bourdain
Carrie Brownstein,https://en.wikipedia.org/wiki/Carrie_Brownstein
Julianna Margulies,https://en.wikipedia.org/wiki/Julianna_Margulies
Jonathan Franzen,https://en.wikipedia.org/wiki/Jonathan_Franzen
Seth MacFarlane,https://en.wikipedia.org/wiki/Seth_MacFarlane
Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson
Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose
Stacy Schiff,https://en.wikipedia.org/wiki/Stacy_Schiff
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney
Colin Quinn,https://en.wikipedia.org/wiki/Colin_Quinn
Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas
Reed Hastings,https://en.wikipedia.org/wiki/Reed_Hastings
John Irving,https://en.wikipedia.org/wiki/John_Irving
Daniel Craig,https://en.wikipedia.org/wiki/Daniel_Craig
Elizabeth Gilbert,https://en.wikipedia.org/wiki/Elizabeth_Gilbert
Eugenia Cheng,https://en.wikipedia.org/wiki/Eugenia_Cheng
Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston
Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg
John Kasich,https://en.wikipedia.org/wiki/John_Kasich
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke
Claire McCaskill,https://en.wikipedia.org/wiki/Claire_McCaskill
Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar
Aziz Ansari,https://en.wikipedia.org/wiki/Aziz_Ansari
Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes
Bruce Campbell,https://en.wikipedia.org/wiki/Bruce_Campbell
Lucy Lawless,https://en.wikipedia.org/wiki/Lucy_Lawless
Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis
Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene
Jennifer Connelly,https://en.wikipedia.org/wiki/Jennifer_Connelly
Judd Apatow,https://en.wikipedia.org/wiki/Judd_Apatow
Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo
John Cleese,https://en.wikipedia.org/wiki/John_Cleese
Jack H. Jacobs,https://en.wikipedia.org/wiki/Jack_H._Jacobs
Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher
Florent Groberg,https://en.wikipedia.org/wiki/Florent_Groberg
Shepard Fairey,https://en.wikipedia.org/wiki/Shepard_Fairey
Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore
Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds
Sharon Stone,https://en.wikipedia.org/wiki/Sharon_Stone
Justin Theroux,https://en.wikipedia.org/wiki/Justin_Theroux
Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda
Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber
Michael Caine,https://en.wikipedia.org/wiki/Michael_Caine
Larry Wilmore,https://en.wikipedia.org/wiki/Larry_Wilmore
Sylvester Stallone,https://en.wikipedia.org/wiki/Sylvester_Stallone
Ted Koppel,https://en.wikipedia.org/wiki/Ted_Koppel
Spike Lee,https://en.wikipedia.org/wiki/Spike_Lee
Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality)
Carly Simon,https://en.wikipedia.org/wiki/Carly_Simon
Gloria Estefan,https://en.wikipedia.org/wiki/Gloria_Estefan
Eric Greitens,https://en.wikipedia.org/wiki/Eric_Greitens
Jake Wood,None
Daniel Boulud,https://en.wikipedia.org/wiki/Daniel_Boulud
Steve Carell,https://en.wikipedia.org/wiki/Steve_Carell
Jennifer Hudson,https://en.wikipedia.org/wiki/Jennifer_Hudson
Marion Cotillard,https://en.wikipedia.org/wiki/Marion_Cotillard
