,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
0,George Clooney,https://en.wikipedia.org/wiki/George_Clooney,57,U.S.,Kentucky,Lexington,,,,"['Actor, screenwriter, producer with', 'Smoke House Pictures', ', director']",Democratic
1,Jeb Bush,https://en.wikipedia.org/wiki/Jeb_Bush,65,U.S.,, ,,,"['University of Texas, Austin', 'BA']",,Republican
2,Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,33,U.S.,New York,New York City,,,,['Actress  singer'],
3,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,47,South Africa,Transvaal,Pretoria,,"[['Queens University', 'University of Pennsylvania   3', '4']]",,"['Entrepreneur', ', investor']",Independent
4,Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,75,U.S.,, ,,,"['University of Delaware', 'BA', 'Syracuse University', 'JD']",,Democratic
5,Travis Kalanick,https://en.wikipedia.org/wiki/Travis_Kalanick,42,U.S.,California,Los Angeles,,,"['University of California, Los Angeles', 'withdrew']",['Internet entrepreneur'],
6,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,,,['Towson University'],['William Esper Studio'],,
7,Stephen King,https://en.wikipedia.org/wiki/Stephen_King,71,U.S.,, ,,['University of Maine'],,['Writer  actor  television producer  singer  musician'],
8,Emily Blunt,https://en.wikipedia.org/wiki/Emily_Blunt,35,England,London,Wandsworth,English,,,['Actress'],
9,Justice Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer,80,U.S.,California,San Francisco,,,"['Stanford University', 'BA', 'Magdalen College, Oxford', 'BA', 'Harvard University', 'LLB']",,Democratic
10,Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,37,U.S.,California,Los Angeles,,['Columbia University'],['HarvardWestlake School'],['Actor'],
11,Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook,57,U.S.,Alabama,Mobile,,,"['Auburn University', 'BS', 'Duke University', 'MBA']",,
