name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,57,U.S.,Kentucky,Lexington,American,,,M,"['Actor', 'screenwriter', 'producer with Smoke House Pictures', 'director']",Democratic
Jeb Bush,https://en.wikipedia.org/wiki/Jeb_Bush,65,U.S.,Texas,Midland,American,,"['University of Texas, Austin']",M,['Governor'],Republican
Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,33,U.S.,New York,New York City,American,,,F,"['Actress', 'singer']",
Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,47,South Africa,Transvaal,Pretoria,American,,"['Queens University', 'University of Pennsylvania']",M,"['Entrepreneur', ', investor']",Independent
Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,75,U.S.,Pennsylvania, Scranton,American,,"['University of Delaware', 'Syracuse University']",M,['Vice President of the United States'],Democratic
Travis Kalanick,https://en.wikipedia.org/wiki/Travis_Kalanick,42,U.S.,California,Los Angeles,American,,"['University of California, Los Angeles']",M,['Internet entrepreneur'],
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],F,['Comedian'],
Stephen King,https://en.wikipedia.org/wiki/Stephen_King,71,U.S.,Maine, Portland,American,['University of Maine'],,M,"['Writer', 'actor', 'television producer', 'singer', 'musician']",
Emily Blunt,https://en.wikipedia.org/wiki/Emily_Blunt,35,U.K.,London,Wandsworth,English,,,F,['Actress'],
Justice Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer,80,U.S.,California,San Francisco,American,,"['Stanford University','Magdalen College, Oxford', 'Harvard University']",M,['Supreme Court Justice'],Democratic
Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,37,U.S.,California,Los Angeles,American,['Columbia University'],['HarvardWestlake School'],M,['Actor'],
Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook,57,U.S.,Alabama,Mobile,American,,"['Auburn University',  'Duke University']",M,['CEO'],
Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,59,U.S.,New Jersey,South Orange,American,,['Juilliard School'],M,"['Actor', 'producer', 'singer']",
Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett,85,U.S.,Texas,San Antonio,American,,['UCLA'],F,['Actor'],
